player_id,name,nation,position
player_ted_curd,Ted Curd,ENG,GK
player_marc_guiu,Marc Guiu,ESP,FW
player_facundo_buonanotte_on_loan_from_brighton_hove_albion,Facundo Buonanotte (on loan from Brighton & Hove Albion),ARG,MF
player_estevao,Estêvão,BRA,FW
player_gabriel_slonina,Gabriel Slonina,USA,GK
player_romeo_lavia,Roméo Lavia,BEL,MF
player_alejandro_garnacho,Alejandro Garnacho,ARG,FW
player_mykhailo_mudryk,Mykhailo Mudryk,UKR,FW
player_bart_verbruggen,Bart Verbruggen,NED,GK
player_adam_webster,Adam Webster,ENG,DF
player_lewis_dunk_captain,Lewis Dunk (captain),ENG,DF
player_jan_paul_van_hecke,Jan Paul van Hecke,NED,DF
player_solly_march,Solly March,ENG,MF
player_brajan_gruda,Brajan Gruda,GER,MF
player_stefanos_tzimas,Stefanos Tzimas,GRE,FW
player_georginio_rutter,Georginio Rutter,FRA,FW
player_yankuba_minteh,Yankuba Minteh,GAM,MF
player_jack_hinshelwood,Jack Hinshelwood,ENG,MF
player_tom_watson,Tom Watson,ENG,MF
player_carlos_baleba,Carlos Baleba,CMR,MF
player_danny_welbeck,Danny Welbeck,ENG,FW
player_charalampos_kostoulas,Charalampos Kostoulas,GRE,FW
player_james_milner,James Milner,ENG,MF
player_olivier_boscagli,Olivier Boscagli,FRA,DF
player_kaoru_mitoma,Kaoru Mitoma,JPN,MF
player_jason_steele,Jason Steele,ENG,GK
player_ferdi_kadioglu,Ferdi Kadıoğlu,TUR,DF
player_diego_gomez,Diego Gómez,PAR,MF
player_yasin_ayari,Yasin Ayari,SWE,MF
player_mats_wieffer,Mats Wieffer,NED,MF
player_maxim_de_cuyper,Maxim De Cuyper,BEL,DF
player_joel_veltman,Joël Veltman,NED,DF
player_tom_mcgill,Tom McGill,CAN,GK
player_diego_coppola,Diego Coppola,ITA,DF
player_caoimhin_kelleher,Caoimhín Kelleher,IRL,GK
player_aaron_hickey,Aaron Hickey,SCO,DF
player_rico_henry,Rico Henry,ENG,DF
player_sepp_van_den_berg,Sepp van den Berg,NED,DF
player_ethan_pinnock,Ethan Pinnock,JAM,DF
player_jordan_henderson,Jordan Henderson,ENG,MF
player_kevin_schade,Kevin Schade,GER,FW
player_mathias_jensen,Mathias Jensen,DEN,MF
player_igor_thiago,Igor Thiago,BRA,FW
player_reiss_nelson_on_loan_from_arsenal,Reiss Nelson (on loan from Arsenal),ENG,FW
player_hakon_valdimarsson,Hákon Valdimarsson,ISL,GK
player_matthew_cox,Matthew Cox,ENG,GK
player_fabio_carvalho,Fábio Carvalho,POR,MF
player_frank_onyeka,Frank Onyeka,NGA,MF
player_antoni_milambo,Antoni Milambo,NED,MF
player_yehor_yarmolyuk,Yehor Yarmolyuk,UKR,MF
player_dango_ouattara,Dango Ouattara,BFA,FW
player_kristoffer_ajer,Kristoffer Ajer,NOR,DF
